CNNAM,FNFNUM,CNID,USERID,CREATED,MODIFIED
"Waxgourd","154","WAXGOURD","DUKE","10-DEC-97",""
"Barberry","155","BARBERRY","DUKE","10-DEC-97",""
"Brazilnut","156","BRAZILNUT","DUKE","10-DEC-97",""
"Beet","157","BEET","DUKE","10-DEC-97",""
"Beetroot","157","BEETROOT","DUKE","10-DEC-97","28-SEP-99"
"Cherry Birch","158","CHERRYBIRCH","DUKE","10-DEC-97",""
"Achiote","159","ACHIOTE","DUKE","10-DEC-97",""
"Annatto","159","ANNATTO","DUKE","10-DEC-97",""
"Kuan Chung","160","KUANCHUNG","DUKE","10-DEC-97",""
"Shield Fern","160","SHIELDFERN","DUKE","10-DEC-97",""
"Hyacinth Orchid","161","HYACINTHORCHID","DUKE","10-DEC-97",""
"Akee","162","AKEE","DUKE","10-DEC-97",""
"Seso Vegetal","162","SESOVEGETAL","DUKE","10-DEC-97",""
"Tree Poppy","163","TREEPOPPY","DUKE","10-DEC-97",""
"Tree Poppy","164","TREEPOPPY","DUKE","10-DEC-97",""
"Ramie","165","RAMIE","DUKE","10-DEC-97",""
"Borage","166","BORAGE","DUKE","10-DEC-97",""
"Scented Boronia","167","SCENTEDBORONIA","DUKE","10-DEC-97",""
"Olibanum","168","OLIBANUM","DUKE","10-DEC-97",""
"Climbing Onion","169","CLIMBINGONION","DUKE","10-DEC-97",""
"Zulu Potato","169","ZULUPOTATO","DUKE","10-DEC-97",""
"Chinese Cabbage","170","CHINESECABBAGE","DUKE","10-DEC-97",""
"Pak-Choi","170","PAKCHOI","DUKE","10-DEC-97",""
"Mustard Greens","171","MUSTARDGREENS","DUKE","10-DEC-97",""
"Rutabaga","172","RUTABAGA","DUKE","10-DEC-97",""
"Black Mustard","173","BLACKMUSTARD","DUKE","10-DEC-97",""
"Brussels-Sprouts","175","BRUSSELSSPROUTS","DUKE","10-DEC-97",""
"Cabbage","176","CABBAGE","DUKE","10-DEC-97",""
"Collards","178","COLLARDS","DUKE","10-DEC-97",""
"Kale","179","KALE","DUKE","10-DEC-97",""
"Kohlrabi","180","KOHLRABI","DUKE","10-DEC-97",""
"Chinese Cabbage","181","CHINESECABBAGE","DUKE","10-DEC-97",""
"Sarson","182","SARSON","DUKE","10-DEC-97",""
"Turnip","183","TURNIP","DUKE","10-DEC-97",""
"Wild Pineapple","184","WILDPINEAPPLE","DUKE","10-DEC-97",""
"Paper Mulberry","185","PAPERMULBERRY","DUKE","10-DEC-97",""
"Manaca","186","MANACA","DUKE","10-DEC-97",""
"White Bryony","187","WHITEBRYONY","DUKE","10-DEC-97",""
"Chai-Hu","188","CHAIHU","DUKE","10-DEC-97",""
"Lignaloe","189","LIGNALOE","DUKE","10-DEC-97",""
"Linaloe","189","LINALOE","DUKE","10-DEC-97",""
"Gumbolimbo","190","GUMBOLIMBO","DUKE","10-DEC-97",""
"Boxwood","191","BOXWOOD","DUKE","10-DEC-97",""
"Bird Of Paradise","192","BIRDOFPARADISE","DUKE","10-DEC-97",""
"Pigeonpea","193","PIGEONPEA","DUKE","10-DEC-97",""
"Heart Of Jesus","194","HEARTOFJESUS","DUKE","10-DEC-97",""
"Bitter Grass","195","BITTERGRASS","DUKE","10-DEC-97",""
"Dog's Grass","195","DOGSGRASS","DUKE","10-DEC-97",""
"Mexican Calea","195","MEXICANCALEA","DUKE","10-DEC-97",""
"Calendula","196","CALENDULA","DUKE","10-DEC-97",""
"Pot-Marigold","196","POTMARIGOLD","DUKE","10-DEC-97",""
"Giant Milkweed","197","GIANTMILKWEED","DUKE","10-DEC-97",""
"Tea","198","TEA","DUKE","10-DEC-97",""
"Happy Tree","199","HAPPYTREE","DUKE","10-DEC-97",""
"Cananga","200","CANANGA","DUKE","10-DEC-97",""
"Ylang-Ylang","200","YLANGYLANG","DUKE","10-DEC-97",""
"Java-Olive","201","JAVAOLIVE","DUKE","10-DEC-97",""
"Manila Elemi","201","MANILAELEMI","DUKE","10-DEC-97",""
"Jack Bean","202","JACKBEAN","DUKE","10-DEC-97",""
"Achira","203","ACHIRA","DUKE","10-DEC-97",""
"Queensland Arrowroot","203","QUEENSLANDARROWROOT","DUKE","10-DEC-97",""
"Marijuana","204","MARIJUANA","DUKE","10-DEC-97","23-JAN-00"
"Caper","205","CAPER","DUKE","10-DEC-97",""
"Shepherd's Purse","206","SHEPHERDSPURSE","DUKE","10-DEC-97",""
"Bell Pepper","207","BELLPEPPER","DUKE","10-DEC-97",""
"Cayenne","208","CAYENNE","DUKE","10-DEC-97",""
"Chili","208","CHILI","DUKE","10-DEC-97",""
"Tabasco","208","TABASCO","DUKE","10-DEC-97",""
"Papaya","209","PAPAYA","DUKE","10-DEC-97",""
"Safflower","210","SAFFLOWER","DUKE","10-DEC-97",""
"Caraway","211","CARAWAY","DUKE","10-DEC-97",""
"Pignut Hickory","212","PIGNUTHICKORY","DUKE","10-DEC-97",""
"Pecan","213","PECAN","DUKE","10-DEC-97",""
"Shagbark Hickory","214","SHAGBARKHICKORY","DUKE","10-DEC-97",""
"Pink Shower","215","PINKSHOWER","DUKE","10-DEC-97",""
"Wild Senna","216","WILDSENNA","DUKE","10-DEC-97",""
"Sickle Senna","217","SICKLESENNA","DUKE","10-DEC-97",""
"American Chestnut","218","AMERICANCHESTNUT","DUKE","10-DEC-97",""
"Chinese Chestnut","219","CHINESECHESTNUT","DUKE","10-DEC-97",""
"European Chestnut","220","EUROPEANCHESTNUT","DUKE","10-DEC-97",""
"Black Bean","221","BLACKBEAN","DUKE","10-DEC-97",""
"Moreton Bay Chestnut","221","MORETONBAYCHESTNUT","DUKE","10-DEC-97",""
"Hsin-Pa-Pi","222","HSINPAPI","DUKE","10-DEC-97",""
"Kisasage","222","KISASAGE","DUKE","10-DEC-97",""
"Khat","223","KHAT","DUKE","10-DEC-97",""
"Lanceleaf Periwinkle","224","LANCELEAFPERIWINKLE","DUKE","10-DEC-97",""
"Madagascar Periwinkle","225","MADAGASCARPERIWINKLE","DUKE","10-DEC-97",""
"Rosy Periwinkle","225","ROSYPERIWINKLE","DUKE","10-DEC-97",""
"Blue Cohosh","226","BLUECOHOSH","DUKE","10-DEC-97",""
"Cedro Colorado","227","CEDROCOLORADO","DUKE","10-DEC-97",""
"Spanish Cedar","227","SPANISHCEDAR","DUKE","10-DEC-97",""
"Deodar Cedar","228","DEODARCEDAR","DUKE","10-DEC-97",""
"Cedar of Lebanon","229","CEDAROFLEBANON","DUKE","10-DEC-97",""
"Cockscomb","230","COCKSCOMB","DUKE","10-DEC-97",""
"Two-Flowered Sandspur","231","TWOFLOWEREDSANDSPUR","DUKE","10-DEC-97",""
"Star-Thistle","232","STARTHISTLE","DUKE","10-DEC-97",""
"Cornflower","233","CORNFLOWER","DUKE","10-DEC-97",""
"Centaury","234","CENTAURY","DUKE","10-DEC-97",""
"Gotu Kola","235","GOTUKOLA","DUKE","10-DEC-97",""
"Pennywort","235","PENNYWORT","DUKE","10-DEC-97",""
"Ipecac","236","IPECAC","DUKE","10-DEC-97",""
"Raicilla","236","RAICILLA","DUKE","10-DEC-97",""
"Plum Yew","237","PLUMYEW","DUKE","10-DEC-97",""
"Fortune's Plum Yew","238","FORTUNESPLUMYEW","DUKE","10-DEC-97",""
"Hainan Plum Yew","239","HAINANPLUMYEW","DUKE","10-DEC-97",""
"Japanese Plum Yew","240","JAPANESEPLUMYEW","DUKE","10-DEC-97",""
"Mann's Plum Yew","241","MANNSPLUMYEW","DUKE","10-DEC-97",""
"Generic Plum Yew","242","GENERICPLUMYEW","DUKE","10-DEC-97",""
"Wilson's Plum Yew","243","WILSONSPLUMYEW","DUKE","10-DEC-97",""
"Carob","244","CAROB","DUKE","10-DEC-97",""
"St.John's-Bread","244","STJOHNSBREAD","DUKE","10-DEC-97",""
"Chinese Quince","245","CHINESEQUINCE","DUKE","10-DEC-97",""
"Mu-Kua","245","MUKUA","DUKE","10-DEC-97",""
"Garden Camomile","246","GARDENCAMOMILE","DUKE","10-DEC-97",""
"Perennial Camomile","246","PERENNIALCAMOMILE","DUKE","10-DEC-97",""
"Roman Camomile","246","ROMANCAMOMILE","DUKE","10-DEC-97",""
"Spurge","247","SPURGE","DUKE","10-DEC-97",""
