CNNAM,FNFNUM,CNID,USERID,CREATED,MODIFIED
"Small-Flowered Melilot","610","SMALLFLOWEREDMELILOT","DUKE","10-DEC-97",""
"Yellow Sweetclover","611","YELLOWSWEETCLOVER","DUKE","10-DEC-97",""
"Balm","612","BALM","DUKE","10-DEC-97",""
"Lemonbalm","612","LEMONBALM","DUKE","10-DEC-97",""
"Melissa","612","MELISSA","DUKE","10-DEC-97",""
"Moonseed","613","MOONSEED","DUKE","10-DEC-97",""
"Water Mint","614","WATERMINT","DUKE","10-DEC-97",""
"Cornmint","615","CORNMINT","DUKE","10-DEC-97",""
"Field Mint","615","FIELDMINT","DUKE","10-DEC-97",""
"Japanese Mint","615","JAPANESEMINT","DUKE","10-DEC-97",""
"Biblical Mint","616","BIBLICALMINT","DUKE","10-DEC-97",""
"European Pennyroyal","617","EUROPEANPENNYROYAL","DUKE","10-DEC-97",""
"Spearmint","618","SPEARMINT","DUKE","10-DEC-97",""
"Peppermint","619","PEPPERMINT","DUKE","10-DEC-97",""
"Applemint","620","APPLEMINT","DUKE","10-DEC-97",""
"Bogbean","621","BOGBEAN","DUKE","10-DEC-97",""
"Buckbean","621","BUCKBEAN","DUKE","10-DEC-97",""
"Annual Mercury","622","ANNUALMERCURY","DUKE","10-DEC-97",""
"Culebra","623","CULEBRA","DUKE","10-DEC-97",""
"Jurema","624","JUREMA","DUKE","10-DEC-97",""
"Yurema","624","YUREMA","DUKE","10-DEC-97",""
"Sensitive Plant","625","SENSITIVEPLANT","DUKE","10-DEC-97",""
"Huaca-Mullo","626","HUACAMULLO","DUKE","10-DEC-97",""
"Miso","627","MISO","DUKE","10-DEC-97",""
"Tazo","627","TAZO","DUKE","10-DEC-97",""
"Kratum","628","KRATUM","DUKE","10-DEC-97",""
"Small-Flowered Moldavica","629","SMALLFLOWEREDMOLDAVICA","DUKE","10-DEC-97",""
"Thyme-Flowered Moldavica","630","THYMEFLOWEREDMOLDAVICA","DUKE","10-DEC-97",""
"Bitter Melon","631","BITTERMELON","DUKE","10-DEC-97",""
"Sorosi","631","SOROSI","DUKE","10-DEC-97",""
"Clinopod Bergamot","633","CLINOPODBERGAMOT","DUKE","10-DEC-97",""
"Beebalm","634","BEEBALM","DUKE","10-DEC-97",""
"Oswego Tea","634","OSWEGOTEA","DUKE","10-DEC-97",""
"Wild Bergamot","635","WILDBERGAMOT","DUKE","10-DEC-97",""
"Lindheimer's Monarda","636","LINDHEIMERSMONARDA","DUKE","10-DEC-97",""
"Mean Monarda","637","MEANMONARDA","DUKE","10-DEC-97",""
"Horsemint","638","HORSEMINT","DUKE","10-DEC-97",""
"Russel's Monarda","639","RUSSELSMONARDA","DUKE","10-DEC-97",""
"Montanoa","640","MONTANOA","DUKE","10-DEC-97",""
"Indian Mulberry","641","INDIANMULBERRY","DUKE","10-DEC-97",""
"Morinda","642","MORINDA","DUKE","10-DEC-97",""
"Sang-Pai-Pi","643","SANGPAIPI","DUKE","10-DEC-97",""
"White Mulberry","643","WHITEMULBERRY","DUKE","10-DEC-97",""
"Cowage","644","COWAGE","DUKE","10-DEC-97",""
"Velvetbean","644","VELVETBEAN","DUKE","10-DEC-97",""
"Banana","645","BANANA","DUKE","10-DEC-97",""
"None","646","NONE","DUKE","10-DEC-97","15-MAY-99"
"Bayberry","648","BAYBERRY","DUKE","10-DEC-97",""
"Wax Myrtle","648","WAXMYRTLE","DUKE","10-DEC-97",""
"Mace","649","MACE","DUKE","10-DEC-97",""
"Nutmeg","649","NUTMEG","DUKE","10-DEC-97",""
"Peru Balsam","650","PERUBALSAM","DUKE","10-DEC-97",""
"Myrtle","652","MYRTLE","DUKE","10-DEC-97",""
"Daffodil","653","DAFFODIL","DUKE","10-DEC-97",""
"Chinese Spikenard","654","CHINESESPIKENARD","DUKE","10-DEC-97",""
"Indian Nard","655","INDIANNARD","DUKE","10-DEC-97",""
"Spikenard","655","SPIKENARD","DUKE","10-DEC-97",""
"Berro","656","BERRO","DUKE","10-DEC-97",""
"Watercress","656","WATERCRESS","DUKE","10-DEC-97",""
"Water Lotus","657","WATERLOTUS","DUKE","10-DEC-97",""
"Catnip","658","CATNIP","DUKE","10-DEC-97",""
"Oleander","659","OLEANDER","DUKE","10-DEC-97",""
"Bitter Wood","660","BITTERWOOD","DUKE","10-DEC-97",""
"Contragavilana","660","CONTRAGAVILANA","DUKE","10-DEC-97",""
"Tree Tobacco","661","TREETOBACCO","DUKE","10-DEC-97",""
"Aztec Tobacco","662","AZTECTOBACCO","DUKE","10-DEC-97",""
"Tobacco","663","TOBACCO","DUKE","10-DEC-97",""
"Black Cumin","664","BLACKCUMIN","DUKE","10-DEC-97",""
"Qiang Huo","665","QIANGHUO","DUKE","10-DEC-97",""
"Black Gum","666","BLACKGUM","DUKE","10-DEC-97",""
"Black Tupelo","666","BLACKTUPELO","DUKE","10-DEC-97",""
"Basil","667","BASIL","DUKE","10-DEC-97",""
"Ocotea","668","OCOTEA","DUKE","10-DEC-97",""
"Water Fennel","669","WATERFENNEL","DUKE","10-DEC-97",""
"Water Hemlock","669","WATERHEMLOCK","DUKE","10-DEC-97",""
"Water Dropwort","670","WATERDROPWORT","DUKE","10-DEC-97",""
"Javan Water Dropwort","671","JAVANWATERDROPWORT","DUKE","10-DEC-97",""
"Evening-Primrose","672","EVENINGPRIMROSE","DUKE","10-DEC-97",""
"Olive","673","OLIVE","DUKE","10-DEC-97",""
"Mai-Men-Dong","674","MAIMENDONG","DUKE","10-DEC-97",""
"Mai-Men-Tung","674","MAIMENTUNG","DUKE","10-DEC-97",""
"Hercules All Heal","675","HERCULESALLHEAL","DUKE","10-DEC-97",""
"Opopanax","675","OPOPANAX","DUKE","10-DEC-97",""
"Indian Fig","676","INDIANFIG","DUKE","10-DEC-97",""
"Dittany Of Crete","677","DITTANYOFCRETE","DUKE","10-DEC-97",""
"Marjoram","678","MARJORAM","DUKE","10-DEC-97",""
"Oregano","679","OREGANO","DUKE","10-DEC-97",""
"Pot Marjoram","679","POTMARJORAM","DUKE","10-DEC-97",""
"Star Of Bethlehem","681","STAROFBETHLEHEM","DUKE","10-DEC-97",""
"Rice","682","RICE","DUKE","10-DEC-97",""
"Oca","683","OCA","DUKE","10-DEC-97",""
"Papa Roja","683","PAPAROJA","DUKE","10-DEC-97",""
"Quiba","683","QUIBA","DUKE","10-DEC-97",""
"Provision Tree","684","PROVISIONTREE","DUKE","10-DEC-97",""
"Large-Fruited Provision Tree","685","LARGEFRUITEDPROVISIONTREE","DUKE","10-DEC-97",""
"Yambean","686","YAMBEAN","DUKE","10-DEC-97",""
"Chih-Shao","687","CHIHSHAO","DUKE","10-DEC-97",""
"Peony","687","PEONY","DUKE","10-DEC-97",""
"Moutan","688","MOUTAN","DUKE","10-DEC-97",""
"Tree Peony","688","TREEPEONY","DUKE","10-DEC-97",""
"Double Peony","689","DOUBLEPEONY","DUKE","10-DEC-97",""
"Moutan","690","MOUTAN","DUKE","10-DEC-97",""
"Tree Peony","690","TREEPEONY","DUKE","10-DEC-97",""
"Chinese Ginseng","691","CHINESEGINSENG","DUKE","10-DEC-97",""
"Oriental Ginseng","691","ORIENTALGINSENG","DUKE","10-DEC-97",""
"Japanese Ginseng","692","JAPANESEGINSENG","DUKE","10-DEC-97",""
"Sanchi Ginseng","693","SANCHIGINSENG","DUKE","10-DEC-97",""
"American Ginseng","694","AMERICANGINSENG","DUKE","10-DEC-97",""
"Sea Daffodil","695","SEADAFFODIL","DUKE","10-DEC-97",""
"Great Scarlet Poppy","696","GREATSCARLETPOPPY","DUKE","10-DEC-97",""
"Opium Poppy","697","OPIUMPOPPY","DUKE","10-DEC-97",""
"Polyphyllous Paris","698","POLYPHYLLOUSPARIS","DUKE","10-DEC-97",""
"Herb Paris","699","HERBPARIS","DUKE","10-DEC-97",""
"Manzana de Mayo","700","MANZANADEMAYO","DUKE","10-DEC-97",""
"Mayapple","700","MAYAPPLE","DUKE","10-DEC-97",""
"Passionflower","700","PASSIONFLOWER","DUKE","10-DEC-97",""
"Granadilla","701","GRANADILLA","DUKE","10-DEC-97",""
"Parsnip","702","PARSNIP","DUKE","10-DEC-97",""
"Guarana","703","GUARANA","DUKE","10-DEC-97",""
"Yoko","704","YOKO","DUKE","10-DEC-97",""
"Yohimbe","705","YOHIMBE","DUKE","10-DEC-97",""
"Harmel","706","HARMEL","DUKE","10-DEC-97",""
"Syrian Rue","706","SYRIANRUE","DUKE","10-DEC-97",""
"Rose Geranium","707","ROSEGERANIUM","DUKE","10-DEC-97",""
"Scented Geranium","707","SCENTEDGERANIUM","DUKE","10-DEC-97",""
"Squaw Root","708","SQUAWROOT","DUKE","10-DEC-97",""
"Perilla","709","PERILLA","DUKE","10-DEC-97",""
"Avocado","710","AVOCADO","DUKE","10-DEC-97",""
"Butterbur","711","BUTTERBUR","DUKE","10-DEC-97",""
"Parsley","712","PARSLEY","DUKE","10-DEC-97",""
"Qian Hu","713","QIANHU","DUKE","10-DEC-97",""
"Masterwort","714","MASTERWORT","DUKE","10-DEC-97",""
"Boldo","715","BOLDO","DUKE","10-DEC-97",""
"Scarlet Runner Bean","717","SCARLETRUNNERBEAN","DUKE","10-DEC-97",""
"Butter Bean","718","BUTTERBEAN","DUKE","10-DEC-97",""
"Lima Bean","718","LIMABEAN","DUKE","10-DEC-97",""
"Black Bean","719","BLACKBEAN","DUKE","10-DEC-97","12-DEC-98"
"Green Bean","719","GREENBEAN","DUKE","10-DEC-97","12-DEC-98"
"Haricot Bean","719","HARICOTBEAN","DUKE","10-DEC-97","03-JUN-00"
"Huang Po","720","HUANGPO","DUKE","10-DEC-97",""
"Po Mu","720","POMU","DUKE","10-DEC-97",""
"Date Palm","721","DATEPALM","DUKE","10-DEC-97",""
"Eastern Mistletoe","722","EASTERNMISTLETOE","DUKE","10-DEC-97",""
"Indian Gooseberry","723","INDIANGOOSEBERRY","DUKE","10-DEC-97",""
"Otaheite Gooseberry","723","OTAHEITEGOOSEBERRY","DUKE","10-DEC-97",""
"Emblic","724","EMBLIC","DUKE","10-DEC-97",""
"Myrobalan","724","MYROBALAN","DUKE","10-DEC-97",""
"Seed On The Leaf","725","SEEDONTHELEAF","DUKE","10-DEC-97",""
"Bladderherb","726","BLADDERHERB","DUKE","10-DEC-97",""
"Lantern","726","LANTERN","DUKE","10-DEC-97",""
"Tomatillo","727","TOMATILLO","DUKE","10-DEC-97",""
"Cape Gooseberry","728","CAPEGOOSEBERRY","DUKE","10-DEC-97",""
"Ground Cherry","728","GROUNDCHERRY","DUKE","10-DEC-97",""
"Calabar Bean","729","CALABARBEAN","DUKE","10-DEC-97",""
"Pokeweed","730","POKEWEED","DUKE","10-DEC-97",""
"White Spruce","731","WHITESPRUCE","DUKE","10-DEC-97",""
"Black Spruce","732","BLACKSPRUCE","DUKE","10-DEC-97",""
"Bitterwood","733","BITTERWOOD","DUKE","10-DEC-97",""
"Jamaican Quassia","733","JAMAICANQUASSIA","DUKE","10-DEC-97",""
"Lignum Quassia","734","LIGNUMQUASSIA","DUKE","10-DEC-97",""
"Nigaki","734","NIGAKI","DUKE","10-DEC-97",""
"Shurni","734","SHURNI","DUKE","10-DEC-97",""
"Picrorhiza","735","PICRORHIZA","DUKE","10-DEC-97",""
"Indian Hemp","736","INDIANHEMP","DUKE","10-DEC-97",""
"Pernambuco Jaborandi","736","PERNAMBUCOJABORANDI","DUKE","10-DEC-97",""
"Maranhao Jaborandi","737","MARANHAOJABORANDI","DUKE","10-DEC-97",""
"Paraguay Jaborandi","738","PARAGUAYJABORANDI","DUKE","10-DEC-97",""
"Guadalupe Jaborandi","739","GUADALUPEJABORANDI","DUKE","10-DEC-97",""
"Allspice","740","ALLSPICE","DUKE","10-DEC-97",""
"Bayrum Tree","741","BAYRUMTREE","DUKE","10-DEC-97",""
"Anise","742","ANISE","DUKE","10-DEC-97",""
"Ban-Xia","743","BANXIA","DUKE","10-DEC-97",""
"Pan-Hsia","743","PANHSIA","DUKE","10-DEC-97",""
"Shortleaf Pine","744","SHORTLEAFPINE","DUKE","10-DEC-97",""
"Slash Pine","745","SLASHPINE","DUKE","10-DEC-97",""
"Dwarf Pine","746","DWARFPINE","DUKE","10-DEC-97",""
"Swiss Mountain Pine","746","SWISSMOUNTAINPINE","DUKE","10-DEC-97",""
"Longleaf Pine","747","LONGLEAFPINE","DUKE","10-DEC-97",""
"Eastern White Pine","748","EASTERNWHITEPINE","DUKE","10-DEC-97",""
"White Pine","748","WHITEPINE","DUKE","10-DEC-97",""
"Scotch Pine","749","SCOTCHPINE","DUKE","10-DEC-97",""
"Matico","750","MATICO","DUKE","10-DEC-97",""
"Cordoncillo","751","CORDONCILLO","DUKE","10-DEC-97",""
"Betel Pepper","752","BETELPEPPER","DUKE","10-DEC-97",""
"Cubeb","753","CUBEB","DUKE","10-DEC-97",""
"Kava-Kava","754","KAVAKAVA","DUKE","10-DEC-97",""
"Black Pepper","755","BLACKPEPPER","DUKE","10-DEC-97",""
"Jamaica Dogwood","756","JAMAICADOGWOOD","DUKE","10-DEC-97",""
"Mastic","757","MASTIC","DUKE","10-DEC-97",""
"Pistachio","758","PISTACHIO","DUKE","10-DEC-97",""
"Pea","759","PEA","DUKE","10-DEC-97",""
"Asian Plantain","760","ASIANPLANTAIN","DUKE","10-DEC-97",""
"Common Plantain","761","COMMONPLANTAIN","DUKE","10-DEC-97",""
"Blond Psyllium","762","BLONDPSYLLIUM","DUKE","10-DEC-97",""
"Ispaghula","762","ISPAGHULA","DUKE","10-DEC-97",""
"Spogel Seeds","762","SPOGELSEEDS","DUKE","10-DEC-97",""
"Psyllium","763","PSYLLIUM","DUKE","10-DEC-97",""
"Balloon Flower","764","BALLOONFLOWER","DUKE","10-DEC-97",""
"Chieh-Keng","764","CHIEHKENG","DUKE","10-DEC-97",""
"Jie-Geng","764","JIEGENG","DUKE","10-DEC-97",""
"Frangipani","765","FRANGIPANI","DUKE","10-DEC-97",""
"Mayapple","766","MAYAPPLE","DUKE","10-DEC-97",""
"Patchouli","767","PATCHOULI","DUKE","10-DEC-97",""
"Tuberose","768","TUBEROSE","DUKE","10-DEC-97",""
"Seneca Snakeroot","769","SENECASNAKEROOT","DUKE","10-DEC-97",""
"Senega","769","SENEGA","DUKE","10-DEC-97",""
"Chinese Senega","770","CHINESESENEGA","DUKE","10-DEC-97",""
"Prostrate Knotweed","771","PROSTRATEKNOTWEED","DUKE","10-DEC-97",""
"Japanese Knotweed","772","JAPANESEKNOTWEED","DUKE","10-DEC-97",""
"Common Smartweed","773","COMMONSMARTWEED","DUKE","10-DEC-97",""
"Mild Water Pepper","774","MILDWATERPEPPER","DUKE","10-DEC-97",""
"Chinese Cornbind","775","CHINESECORNBIND","DUKE","10-DEC-97",""
"Fleeceflower","775","FLEECEFLOWER","DUKE","10-DEC-97",""
"Fo Ti","775","FOTI","DUKE","10-DEC-97",""
"Andean Jicama","776","ANDEANJICAMA","DUKE","10-DEC-97",""
"Calaguala","777","CALAGUALA","DUKE","10-DEC-97",""
"Common Polypody","778","COMMONPOLYPODY","DUKE","10-DEC-97",""
"Sweet Fern","778","SWEETFERN","DUKE","10-DEC-97",""
"Chinese Polystichum","779","CHINESEPOLYSTICHUM","DUKE","10-DEC-97",""
"Balsam Poplar","780","BALSAMPOPLAR","DUKE","10-DEC-97",""
"Black Poplar","781","BLACKPOPLAR","DUKE","10-DEC-97",""
"Balm Of Gilead","782","BALMOFGILEAD","DUKE","10-DEC-97",""
"Purslane","783","PURSLANE","DUKE","10-DEC-97",""
"Santiago","784","SANTIAGO","DUKE","10-DEC-97",""
"Mesquite","785","MESQUITE","DUKE","10-DEC-97",""
"Self-Heal","786","SELFHEAL","DUKE","10-DEC-97",""
"Apricot","787","APRICOT","DUKE","10-DEC-97",""
"Sour Cherry","788","SOURCHERRY","DUKE","10-DEC-97",""
"Plum","789","PLUM","DUKE","10-DEC-97",""
"Almond","790","ALMOND","DUKE","10-DEC-97",""
"Cherry Laurel","791","CHERRYLAUREL","DUKE","10-DEC-97",""
"Peach","792","PEACH","DUKE","10-DEC-97",""
"Black Cherry","793","BLACKCHERRY","DUKE","10-DEC-97",""
"Wild Cherry","793","WILDCHERRY","DUKE","10-DEC-97",""
"Blackthorn","794","BLACKTHORN","DUKE","10-DEC-97",""
"Sloe","794","SLOE","DUKE","10-DEC-97",""
"Strawberry Guava","795","STRAWBERRYGUAVA","DUKE","10-DEC-97",""
"Guava","796","GUAVA","DUKE","10-DEC-97",""
"Asparagus Pea","797","ASPARAGUSPEA","DUKE","10-DEC-97",""
"Goa Bean","797","GOABEAN","DUKE","10-DEC-97",""
"Winged Bean","797","WINGEDBEAN","DUKE","10-DEC-97",""
"Babchi","798","BABCHI","DUKE","10-DEC-97",""
"Black Dot","798","BLACKDOT","DUKE","10-DEC-97",""
"Malaya Tea","798","MALAYATEA","DUKE","10-DEC-97",""
"Indian Bread-Root","799","INDIANBREADROOT","DUKE","10-DEC-97",""
"Bracken","800","BRACKEN","DUKE","10-DEC-97",""
"Bracken Fern","800","BRACKENFERN","DUKE","10-DEC-97",""
"Indian Kino","801","INDIANKINO","DUKE","10-DEC-97",""
"Malabar Kino","801","MALABARKINO","DUKE","10-DEC-97",""
"Red Saunders","802","REDSAUNDERS","DUKE","10-DEC-97",""
"Muira Puama","803","MUIRAPUAMA","DUKE","10-DEC-97",""
"Kudzu","804","KUDZU","DUKE","10-DEC-97",""
"Chinese Kudzu","805","CHINESEKUDZU","DUKE","10-DEC-97",""
"Chinese Anemone","806","CHINESEANEMONE","DUKE","10-DEC-97",""
"Pomegranate","807","POMEGRANATE","DUKE","10-DEC-97",""
"White Mountain Mint","808","WHITEMOUNTAINMINT","DUKE","10-DEC-97",""
"Beadle's Mountain Mint","809","BEADLESMOUNTAINMINT","DUKE","10-DEC-97",""
"California Mountain Mint","810","CALIFORNIAMOUNTAINMINT","DUKE","10-DEC-97",""
"Clinopod Mountain Mint","811","CLINOPODMOUNTAINMINT","DUKE","10-DEC-97",""
"Curved Mountain Mint","812","CURVEDMOUNTAINMINT","DUKE","10-DEC-97",""
"Flexuose Mountain Mint","813","FLEXUOSEMOUNTAINMINT","DUKE","10-DEC-97",""
"Hoary Mountain Mint","814","HOARYMOUNTAINMINT","DUKE","10-DEC-97",""
"Loomis' Mountain Mint","815","LOOMISMOUNTAINMINT","DUKE","10-DEC-97",""
"Montane Mountain Mint","816","MONTANEMOUNTAINMINT","DUKE","10-DEC-97",""
"Muticous Mountain Mint","817","MUTICOUSMOUNTAINMINT","DUKE","10-DEC-97",""
"Nude Mountain Mint","818","NUDEMOUNTAINMINT","DUKE","10-DEC-97",""
"Pilose Mountain Mint","819","PILOSEMOUNTAINMINT","DUKE","10-DEC-97",""
"Typical Mountain Mint","820","TYPICALMOUNTAINMINT","DUKE","10-DEC-97",""
"Setose Mountain Mint","821","SETOSEMOUNTAINMINT","DUKE","10-DEC-97",""
"Slenderleaf Mountain Mint","822","SLENDERLEAFMOUNTAINMINT","DUKE","10-DEC-97",""
"Torrey's Mountain Mint","823","TORREYSMOUNTAINMINT","DUKE","10-DEC-97",""
"Whorled Mountain Mint","824","WHORLEDMOUNTAINMINT","DUKE","10-DEC-97",""
"Virginia Mountain Mint","825","VIRGINIAMOUNTAINMINT","DUKE","10-DEC-97",""
"Pear","826","PEAR","DUKE","10-DEC-97",""
"Bitterwood","827","BITTERWOOD","DUKE","10-DEC-97",""
"Quassia","827","QUASSIA","DUKE","10-DEC-97",""
"White Oak","828","WHITEOAK","DUKE","10-DEC-97",""
"Aleppo Oak","829","ALEPPOOAK","DUKE","10-DEC-97",""
"Dyer's Oak","829","DYERSOAK","DUKE","10-DEC-97",""
"Gall Oak","829","GALLOAK","DUKE","10-DEC-97",""
"Willow Oak","830","WILLOWOAK","DUKE","10-DEC-97",""
"English Oak","831","ENGLISHOAK","DUKE","10-DEC-97",""
"Northern Red Oak","832","NORTHERNREDOAK","DUKE","10-DEC-97",""
"Post Oak","833","POSTOAK","DUKE","10-DEC-97",""
"Cork Oak","834","CORKOAK","DUKE","10-DEC-97",""
"Black Oak","835","BLACKOAK","DUKE","10-DEC-97",""
"Soapbark","836","SOAPBARK","DUKE","10-DEC-97",""
"Rangoon Creeper","837","RANGOONCREEPER","DUKE","10-DEC-97",""
"Bulbous Buttercup","838","BULBOUSBUTTERCUP","DUKE","10-DEC-97",""
"Radish","839","RADISH","DUKE","10-DEC-97",""
"Indian Snakeroot","840","INDIANSNAKEROOT","DUKE","10-DEC-97",""
"Serpentine Wood","840","SERPENTINEWOOD","DUKE","10-DEC-97",""
"Four-Leaf Devilpepper","841","FOURLEAFDEVILPEPPER","DUKE","10-DEC-97",""
"Pinque-Pinque","841","PINQUEPINQUE","DUKE","10-DEC-97",""
"African Snakeroot","842","AFRICANSNAKEROOT","DUKE","10-DEC-97",""
"Chinese Foxglove","843","CHINESEFOXGLOVE","DUKE","10-DEC-97",""
"Cascara Sagrada","844","CASCARASAGRADA","DUKE","10-DEC-97",""
"Chinese Rhubarb","845","CHINESERHUBARB","DUKE","10-DEC-97",""
"Chinese Rhubarb","846","CHINESERHUBARB","DUKE","10-DEC-97",""
"Rhubarb","847","RHUBARB","DUKE","10-DEC-97",""
"Red Mangrove","848","REDMANGROVE","DUKE","10-DEC-97",""
"Chinese Alpenrose","849","CHINESEALPENROSE","DUKE","10-DEC-97",""
"Rusty-Leaved Alpenrose","850","RUSTYLEAVEDALPENROSE","DUKE","10-DEC-97",""
"Yellow Azalea","851","YELLOWAZALEA","DUKE","10-DEC-97",""
"Pontic Alpenrose","852","PONTICALPENROSE","DUKE","10-DEC-97",""
"Dulse","853","DULSE","DUKE","10-DEC-97",""
"Dwarf Sumac","854","DWARFSUMAC","DUKE","10-DEC-97",""
"Winged Sumac","854","WINGEDSUMAC","DUKE","10-DEC-97",""
"Smooth Sumac","855","SMOOTHSUMAC","DUKE","10-DEC-97",""
"Poison Ivy","856","POISONIVY","DUKE","10-DEC-97",""
"Burn Mouth Vine","857","BURNMOUTHVINE","DUKE","10-DEC-97",""
"Black Currant","858","BLACKCURRANT","DUKE","10-DEC-97",""
"Red Currant","859","REDCURRANT","DUKE","10-DEC-97",""
"White Currant","859","WHITECURRANT","DUKE","10-DEC-97",""
"Gooseberry","860","GOOSEBERRY","DUKE","10-DEC-97",""
"Castorbean","861","CASTORBEAN","DUKE","10-DEC-97",""
"Snakeplant","862","SNAKEPLANT","DUKE","10-DEC-97",""
"Black Locust","863","BLACKLOCUST","DUKE","10-DEC-97",""
"Marshcress","864","MARSHCRESS","DUKE","10-DEC-97",""
"Rose","865","ROSE","DUKE","10-DEC-97",""
"Cabbage Rose","866","CABBAGEROSE","DUKE","10-DEC-97",""
"Damask Rose","867","DAMASKROSE","DUKE","10-DEC-97",""
"French Rose","868","FRENCHROSE","DUKE","10-DEC-97",""
"Cherokee Rose","869","CHEROKEEROSE","DUKE","10-DEC-97",""
"Multiflora Rose","870","MULTIFLORAROSE","DUKE","10-DEC-97",""
"Rosa Mosqueta","871","ROSAMOSQUETA","DUKE","10-DEC-97",""
"Rose Hips","872","ROSEHIPS","DUKE","10-DEC-97",""
"Rosemary","873","ROSEMARY","DUKE","10-DEC-97",""
"Madder","874","MADDER","DUKE","10-DEC-97",""
"Cloudberry","875","CLOUDBERRY","DUKE","10-DEC-97",""
"Chinese Raspberry","876","CHINESERASPBERRY","DUKE","10-DEC-97",""
"Blackberry","877","BLACKBERRY","DUKE","10-DEC-97",""
"Red Raspberry","878","REDRASPBERRY","DUKE","10-DEC-97",""
"Garden Sorrel","879","GARDENSORREL","DUKE","10-DEC-97",""
"Sheep Sorrel","880","SHEEPSORREL","DUKE","10-DEC-97",""
"Curly Dock","881","CURLYDOCK","DUKE","10-DEC-97",""
"Lengua De Vaca","881","LENGUADEVACA","DUKE","10-DEC-97",""
"Yellow Dock","881","YELLOWDOCK","DUKE","10-DEC-97",""
"Canaigre","882","CANAIGRE","DUKE","10-DEC-97",""
"Butcher's Broom","883","BUTCHERSBROOM","DUKE","10-DEC-97",""
"Rue","884","RUE","DUKE","10-DEC-97",""
"White Willow","885","WHITEWILLOW","DUKE","10-DEC-97",""
"Seer Sage","886","SEERSAGE","DUKE","10-DEC-97",""
"Dan-Shen","887","DANSHEN","DUKE","10-DEC-97",""
"Red Sage","887","REDSAGE","DUKE","10-DEC-97",""
"Tan-Shen","887","TANSHEN","DUKE","10-DEC-97",""
"Sage","888","SAGE","DUKE","10-DEC-97",""
"Clary Sage","889","CLARYSAGE","DUKE","10-DEC-97",""
"Greek Sage","890","GREEKSAGE","DUKE","10-DEC-97",""
"American Elder","891","AMERICANELDER","DUKE","10-DEC-97",""
"Elderberry","891","ELDERBERRY","DUKE","10-DEC-97",""
"European Alder","892","EUROPEANALDER","DUKE","10-DEC-97",""
"Bloodroot","893","BLOODROOT","DUKE","10-DEC-97",""
"Small Burnet","894","SMALLBURNET","DUKE","10-DEC-97",""
"Greater Burnet","895","GREATERBURNET","DUKE","10-DEC-97",""
"African Bowstring Hemp","896","AFRICANBOWSTRINGHEMP","DUKE","10-DEC-97",""
"Snake Plant","896","SNAKEPLANT","DUKE","10-DEC-97",""
"White Sandalwood","897","WHITESANDALWOOD","DUKE","10-DEC-97",""
"Lavender Cotton","898","LAVENDERCOTTON","DUKE","10-DEC-97",""
"Soma","899","SOMA","DUKE","10-DEC-97",""
"Sassafras","900","SASSAFRAS","DUKE","10-DEC-97",""
"Douglas' Savory","901","DOUGLASSAVORY","DUKE","10-DEC-97",""
"Smooth Savory","902","SMOOTHSAVORY","DUKE","10-DEC-97",""
"Summer Savory","903","SUMMERSAVORY","DUKE","10-DEC-97",""
"Winter Savory","904","WINTERSAVORY","DUKE","10-DEC-97",""
"Common Savory","905","COMMONSAVORY","DUKE","10-DEC-97",""
"Costus","906","COSTUS","DUKE","10-DEC-97",""
"Kuth","906","KUTH","DUKE","10-DEC-97",""
"California Peppertree","907","CALIFORNIAPEPPERTREE","DUKE","10-DEC-97",""
"Mastic-Tree","907","MASTICTREE","DUKE","10-DEC-97",""
"Peruvian Peppertree","907","PERUVIANPEPPERTREE","DUKE","10-DEC-97",""
"Brazilian Peppertree","908","BRAZILIANPEPPERTREE","DUKE","10-DEC-97",""
"Chinese Magnolia Vine","909","CHINESEMAGNOLIAVINE","DUKE","10-DEC-97","28-MAR-99"
"Schizandra","909","SCHIZANDRA","DUKE","10-DEC-97",""
"Ching-Chieh","910","CHINGCHIEH","DUKE","10-DEC-97",""
"Jing-Jie","910","JINGJIE","DUKE","10-DEC-97",""
"Sabadilla","911","SABADILLA","DUKE","10-DEC-97",""
"Marula","912","MARULA","DUKE","10-DEC-97",""
"Scopolia","913","SCOPOLIA","DUKE","10-DEC-97",""
"Hsuan-Shen","914","HSUANSHEN","DUKE","10-DEC-97",""
"Yuan-Shen","914","YUANSHEN","DUKE","10-DEC-97",""
"Chinese Skullcap","915","CHINESESKULLCAP","DUKE","10-DEC-97",""
"Huang Qin","915","HUANGQIN","DUKE","10-DEC-97",""
"Hybrid Skullcap","916","HYBRIDSKULLCAP","DUKE","10-DEC-97",""
"Discolor Skullcap","917","DISCOLORSKULLCAP","DUKE","10-DEC-97",""
"Marsh Skullcap","918","MARSHSKULLCAP","DUKE","10-DEC-97",""
"Mad-Dog Skullcap","919","MADDOGSKULLCAP","DUKE","10-DEC-97","30-MAR-99"
"Small Skullcap","920","SMALLSKULLCAP","DUKE","10-DEC-97",""
"Chayote","921","CHAYOTE","DUKE","10-DEC-97",""
"Night-Blooming Cereus","922","NIGHTBLOOMINGCEREUS","DUKE","10-DEC-97",""
"Liferoot","923","LIFEROOT","DUKE","10-DEC-97",""
"Squawweed","923","SQUAWWEED","DUKE","10-DEC-97",""
