taxonid|relatednameusageid|relationtype|remarks
504042|510218|replacement name|, nom. superfl.
367349|355151|replacement name|
504272|509027|replacement name|
515112|514586|replacement name|
517299|515041|replacement name|, nom. superfl.
2466482|2589594|replacement name|, nom. illeg.
2441296|2378617|replacement name|, nom. superfl.
2847252|2378617|replacement name|, nom. superfl.
2369497|2387299|replacement name|, nom. superfl.
3004950|2387299|replacement name|, nom. illeg.
2816165|2684646|replacement name|
2334219|2481437|replacement name|, nom. superfl.
2424080|2424185|replacement name|, nom. illeg.
2330027|2329517|replacement name|, nom. superfl.
2484990|2817406|replacement name|
2484488|2333963|replacement name|, nom. cons.
2596396|2838838|replacement name|
2596027|2494166|replacement name|
2547413|2494282|replacement name|
2569234|2556293|replacement name|, nom. illeg.
2600748|2492055|replacement name|, nom. superfl.
2558255|2788762|replacement name|
2741152|2452117|replacement name|
2601022|2566996|replacement name|, nom. superfl.
2739913|2623083|replacement name|, nom. superfl.
2934000|2686272|replacement name|, nom. illeg.
2827513|2827243|replacement name|, nom. superfl.
2518254|2518168|replacement name|, nom. superfl.
2897936|2860140|replacement name|, nom. superfl.
2638312|2544574|replacement name|, nom. illeg.
2588437|2573250|replacement name|
2588248|2595641|replacement name|, nom. illeg.
2611305|2612999|replacement name|
2643568|2477367|replacement name|, nom. superfl.
2359077|2432685|replacement name|
2574246|2676780|replacement name|, nom. illeg.
2676824|2574619|replacement name|
2528423|2678100|replacement name|, nom. superfl.
3004548|2807625|replacement name|, nom. illeg.
2719530|2403469|replacement name|
3237860|2531381|replacement name|
2712090|2791950|replacement name|
2837343|2508399|replacement name|
2905913|2721159|replacement name|
3016911|2721778|replacement name|, nom. superfl.
2723086|2722366|replacement name|
2377876|2431242|replacement name|, nom. superfl.
2737218|2736827|replacement name|, nom. illeg.
2597762|2819157|replacement name|, nom. superfl.
2902439|2447836|replacement name|, nom. illeg.
2506600|2853361|replacement name|
2812370|2450252|replacement name|, nom. illeg.
2810151|2547480|replacement name|
2786160|2551307|replacement name|, nom. superfl.
2333534|2677017|replacement name|, nom. superfl.
2850367|2515895|replacement name|, nom. illeg.
2793393|2794578|replacement name|, nom. superfl.
2855857|2802980|replacement name|, nom. superfl.
2909657|2909600|replacement name|
2927052|2920003|replacement name|
2920723|2919239|replacement name|
2919906|2918804|replacement name|, nom. superfl.
2375201|2869130|replacement name|, nom. superfl.
2926084|2926076|replacement name|, nom. superfl.
2926325|2926320|replacement name|
2993529|2993347|replacement name|, nom. superfl.
2920633|2921813|replacement name|
2909730|2909724|replacement name|, nom. superfl.
2909729|2909724|replacement name|, nom. inval.
2972901|2973315|replacement name|
2990340|2986492|replacement name|, nom. illeg.
2924417|2923628|replacement name|
2429500|2612153|replacement name|
3211847|3031069|replacement name|, nom. rej.
3031199|3030773|replacement name|, nom. superfl.
3030824|3030981|replacement name|
2963283|2942032|replacement name|
3255956|2990339|replacement name|, nom. superfl.
2788377|2788376|replacement name|, nom. superfl.
3030980|3030981|replacement name|, nom. illeg.
2933870|2389544|replacement name|
3019987|3025824|replacement name|
3135979|3133182|replacement name|
3136984|3137011|replacement name|
3135968|3134375|replacement name|, nom. superfl.
3242150|3220486|replacement name|, nom. superfl.
3219196|3135388|replacement name|, nom. superfl.
3135511|3135502|replacement name|, nom. superfl.
3134412|3136079|replacement name|, nom. superfl.
3137042|3223991|replacement name|
3135337|3136802|replacement name|
3136662|3135208|replacement name|, nom. superfl.
3135209|3135208|replacement name|, nom. superfl.
3215787|3136608|replacement name|, nom. superfl.
3135915|3133713|replacement name|, nom. superfl.
3190016|3189759|replacement name|
3135582|3133719|replacement name|, nom. superfl.
3191148|3133721|replacement name|, nom. superfl.
3220416|3133721|replacement name|, nom. superfl.
3135834|3136433|replacement name|, nom. superfl.
3135937|3135936|replacement name|, nom. superfl.
3189773|3190044|replacement name|
3135393|3133732|replacement name|, nom. superfl.
3135722|3133759|replacement name|, nom. superfl.
3136115|3136695|replacement name|, nom. superfl.
3135873|3134045|replacement name|, nom. superfl.
3135196|3134287|replacement name|, nom. superfl.
3135755|3134291|replacement name|, nom. superfl.
3136239|3134414|replacement name|, nom. superfl.
3200253|3199885|replacement name|, nom. superfl.
2595085|2449350|replacement name|, nom. superfl.
3190485|3190402|replacement name|, nom. superfl.
3183963|3195788|replacement name|
2762324|2762226|replacement name|
3242474|3242473|replacement name|
2522819|2522699|replacement name|
2446450|2811868|replacement name|
2820062|2819907|replacement name|, nom. illeg.
2812461|2811868|replacement name|
3276258|3276257|replacement name|
2673279|2351995|replacement name|, nom. illeg.
466772|288025|replacement name|
2569111|2602595|replacement name|
2440761|2439422|replacement name|, nom. nud.
66008|66095|replacement name|
2396075|2520747|replacement name|, nom. illeg.
2554439|2550770|replacement name|
2721354|2349133|replacement name|, nom. superfl.
2934903|2690737|replacement name|
2388338|2534951|replacement name|
3149827|3174141|replacement name|, nom. superfl.
2613966|2611675|replacement name|, nom. superfl.
2645085|2645045|replacement name|, not validly publ.
2409627|2697023|replacement name|, nom. superfl.
234140|219765|replacement name|
2645000|2645045|replacement name|, nom. superfl.
2489959|2490017|replacement name|
2457353|2457355|replacement name|
3154114|3187126|replacement name|
2704361|2786190|replacement name|
75615|76215|replacement name|
